,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,label
0,-324.5988464355469,147.82327270507812,-31.917373657226562,27.39212417602539,-4.489181041717529,-4.173313617706299,-12.580122947692871,-5.148221015930176,-7.733166694641113,0.826869547367096,-8.188446998596191,-0.8406908512115479,0.9933266043663025,3.6642777919769287,6.218794345855713,4.725957870483398,-0.025019599124789238,-2.3285937309265137,2.2291934490203857,-0.5623913407325745,classical
1,-287.5845642089844,101.76427459716797,-35.354251861572266,41.28776168823242,-12.733184814453125,17.27873420715332,-13.967281341552734,16.303979873657227,-5.591361999511719,13.657965660095215,-8.786261558532715,-0.05221361666917801,-13.756943702697754,6.473611831665039,6.70430326461792,6.981666564941406,7.026491641998291,8.37877368927002,-5.610243797302246,1.379219889640808,classical
2,-81.06881713867188,129.05197143554688,-42.45161437988281,33.1411247253418,5.686829090118408,-6.506629467010498,-2.272937059402466,7.403286933898926,-18.709312438964844,2.47694730758667,3.738560914993286,1.8881452083587646,-10.070892333984375,0.9884052276611328,-3.5785937309265137,-6.1699090003967285,-8.033431053161621,3.7784929275512695,-5.0571160316467285,-0.8739684224128723,classical
3,-369.0356140136719,171.96292114257812,-27.319442749023438,6.01866340637207,-0.14774416387081146,-10.680950164794922,-11.923371315002441,-10.192580223083496,-11.356762886047363,-10.497932434082031,-8.36854076385498,-9.795355796813965,-5.054962635040283,-5.08441162109375,-3.0423617362976074,-1.7251724004745483,-1.8516258001327515,-2.2625374794006348,-1.2779154777526855,-0.4454992413520813,classical
4,-259.9151306152344,118.95016479492188,-35.61749267578125,31.963693618774414,-16.52582359313965,10.616533279418945,-15.653919219970703,7.417117595672607,-5.822311878204346,8.268571853637695,-17.98200225830078,-1.185532569885254,-6.355772495269775,2.7489888668060303,-2.5851941108703613,4.4033284187316895,-4.125298500061035,-4.7877702713012695,-4.774069309234619,-4.6037278175354,classical
5,-292.06036376953125,127.76256561279297,-29.894201278686523,37.42157745361328,-9.5501708984375,5.111379623413086,-13.812787055969238,7.028453826904297,-7.025754451751709,6.496709823608398,-9.902276992797852,4.70631217956543,0.3692170977592468,1.4627022743225098,3.4074347019195557,6.078481674194336,0.9592065215110779,-0.7609344124794006,-2.1104586124420166,0.754723072052002,classical
6,-368.4895935058594,124.2680435180664,-31.56978416442871,17.59484100341797,2.321777582168579,-5.949942111968994,-11.803566932678223,-5.524955749511719,-5.394247055053711,-1.3068022727966309,-8.428802490234375,-3.620492458343506,2.208922863006592,-0.05731489136815071,0.22986085712909698,2.518540382385254,3.0938870906829834,4.838160037994385,6.2282633781433105,8.7335205078125,classical
7,-274.359375,148.37342834472656,-20.323820114135742,21.7918701171875,7.950323104858398,3.786221504211426,-2.2285375595092773,-6.084719181060791,-5.624156475067139,-6.696158409118652,-5.912067890167236,-4.588786602020264,-1.535086750984192,-3.0277435779571533,-4.69621467590332,-7.71376371383667,-7.215487003326416,-5.410744667053223,-5.248799800872803,-5.265857696533203,classical
8,-326.32940673828125,85.93001556396484,-42.96249771118164,31.845888137817383,-19.57003402709961,9.995521545410156,-16.44505500793457,9.990249633789062,-8.603288650512695,25.50757598876953,6.538925647735596,16.397539138793945,3.4896812438964844,9.595541954040527,5.936185836791992,9.291604042053223,9.968451499938965,9.206622123718262,2.8060145378112793,-5.3889851570129395,classical
9,-301.90838623046875,57.53806686401367,-59.134185791015625,33.547447204589844,-20.90315818786621,17.73060417175293,-0.6357389688491821,49.0113525390625,19.13300895690918,27.09926414489746,-17.64959144592285,-0.2955551743507385,-3.74296236038208,18.176504135131836,9.97020149230957,11.606802940368652,11.280720710754395,15.388389587402344,-7.406882286071777,-5.849086761474609,classical
